Gene,Coef
NOL8,0
PARN,-0.021638706
FRY,0
S100PBP,0
PKNOX1,0
ATXN2L,0
HDDC2,0
TSPYL2,0
CISD1,0
PLGRKT,0.031732258
OGDH,0
ZNF292,0
GZMH,0
DNAJC1,0
GGCT,0
SMC3,0
NPAT,0
ITGA4,-0.00207466
PLEKHG3,0
ANKRD17,0
GTF3C1,0
THADA,-0.03996809
KLHL18,0
KLF9,0.012594104
SLC1A5,0
CCR7,-0.026789976
GPR183,0
PITRM1,0.16036425
HECTD4,0
FBXW4,0
PRPF4,0
HMGXB4,0
YTHDC2,0
PARVB,0.013852964
ATG14,0
EXOSC8,0
HTATSF1,0
LY6E,0
EVA1B,0
CHST12,0
TPP2,0
MDM1,0
STAM,0
BAX,0
ABCF1,0
SOCS1,0
RELB,0
TFPT,0
SDF2L1,0
CLN5,0
CEP135,0
FAHD2A,0
ARID4A,0
DDIT3,0
ZCCHC10,0
ADA,0
ACP5,0
MPRIP,-0.024534206
CSNK2A2,0
RIPK2,0
ASB1,0
TRAPPC2L,-0.025526695
SLC50A1,0
BAD,0
SMAD3,-0.138196514
ITM2C,-0.069668769
OGFRL1,0
PRDM1,0
NPDC1,0
FAM136A,0
ASNSD1,0
MRPS15,0
LMO4,0
MAPKAP1,0
FBXL15,0
ACADM,0
EXOSC9,0
DDX60,0
REC8,0
ACP6,0
BCL7C,0
MIS12,0
ATMIN,0
PTGS2,0
IL6R,0
TERF2,0
ZMYND8,0
AHCY,0
DIAPH2,0
MTF2,0
PDE3B,0
UBTF,0
CCP110,0
CMTR1,0
GZMK,-0.030140555
ZBTB1,0
HIVEP1,0
GTPBP6,-0.028464308
FAM20B,0
MAPK8IP3,0
CTSL,0
NFATC3,-0.046261062
DYRK4,0.014015923
HOPX,0
SSBP2,0
FAM168A,0
CHST11,0
ZC3H14,0
CLSTN3,0
ACAT1,0
UBAP2,-0.033763163
MATK,0
GOLGA8A,0
KIAA0753,0
PRPS2,0
ZNF337,0
ZBTB7A,0
MAF,-0.047726665
RAB4A,0
LSG1,0
TERF1,0
CHD9,0
PHF8,0
DNAJC9,0
TCERG1,0
KIN,0
PIP4K2B,-0.000688303
ASXL1,0
MZT2B,-0.001148394
UFL1,0
EIF5B,0
CBR1,0
TGIF1,0
PHKG2,0
CARM1,0
PHTF1,0.028788952
LPAR6,-0.010046934
LPIN1,-0.102323734
MBNL3,0
SRM,0
MXD1,0
SREK1,0
B3GNT2,0
DYNC1H1,0
RDX,0
AAMDC,0
LUZP1,0
RUVBL1,0
GSDMB,-0.051532577
RPA3,0
IFIT3,0
STRN4,0
MYO1C,0
CWC25,0
DPM3,0
STRN3,0
RNMT,0
PMVK,0
PTPRN2,0
ENDOD1,0
ZMAT3,0
LONP1,0
DMXL1,0
SLC39A4,0
PLCG1,0
CERS6,0
APBA2,0
PAXBP1,0
PREPL,0
PIEZO1,-0.122183405
MED7,0
GLRX3,0
SUN1,-0.063171934
DNAJC2,-0.128468663
DNAJC15,0
RPAP3,0
OAS3,0
ITGA6,-0.00024215
EP400,0
UFSP2,0
SOX4,0
SIN3B,0
IFI44,0
ATN1,0
RASGRP1,-0.103516736
RRAS,0
ERAL1,0
PDCL3,0
GPR107,0.120029482
CDYL,0
ECI1,-0.040819663
EMILIN2,0
CBX5,0
TNFSF12,0
GNB5,0
CD2AP,0
RTP4,0
PCNT,0
TBC1D4,0
RAB11FIP2,0
SBF1,0
TIAM1,-0.006880452
MTIF2,0
ROCK2,0
POP7,0
NUDT1,0
NR4A1,0
WBP4,0.118047623
CCR5,0
ZBTB40,0
TARBP1,0
KIAA0319L,0
CD320,-0.170275371
PPP2R5E,0
CD79B,0
FRMD4B,0
PHF10,-0.072590032
ZC3H7B,0
RRM1,0
ABHD14A,0
CAPRIN2,0
CRADD,0
PURA,-0.100000977
CKAP5,0
C1orf35,0
TNFSF14,0
VRK1,0
IFIT2,0
IDE,0
SH3YL1,-0.031104668
BBC3,0
GALT,-0.028046298
SLC12A6,0
SLC4A7,-0.095598544
TRIM24,0
RPGR,0
NXPE3,0
HAUS2,0
IKBKE,0
ACOT13,0
RPP38,0
UGCG,0.009041631
ST8SIA4,0
ZDHHC24,0
POU2F2,0
RMDN1,0.015221205
DSTYK,0
SH2D2A,0
ANKRD28,0.012723429
PUS3,0
MCM4,0
CUL9,0
MLH1,0
RIPK1,0
TSPAN32,0
ERAP2,0
DHX30,0
LARP7,0.03453131
ZBTB14,0
TPMT,0
HUS1,0
TFDP2,0
STX18,0
CHST7,0
SUPT6H,0
CRIPT,0
VIPR1,0
KIF3B,0
DROSHA,0
DEF8,0
RRP8,0
ACVR1,0
REV1,0
KIFAP3,0
MICALL1,0
ATF5,0
MPHOSPH10,-0.036372871
NOP16,0
MEF2D,0
ZBP1,0
WDR73,0
NFX1,-0.074215581
GMCL1,0
POFUT2,0
CD8B,-0.038766678
SH2D1A,-0.042328352
C8orf33,-0.043385766
ZBTB24,0
NABP1,0
SLC2A4RG,0
MSH3,0.048257757
ZNF646,0
AXIN1,0
ETFDH,0.120481973
CREB3L2,0
TP53TG1,0
CYB5A,0
HELZ,0
FGFR1,0
CREM,0
AGO1,0
PIK3CA,0
TTC33,0.062907867
TPCN1,0
TRIM37,0
GTF3C3,0
TSPAN2,0.038821541
APPL1,0
PAICS,0
MYL6B,0
ATG2B,0
TXLNA,0
FABP5,0
MAFG,0
KDM5C,0
AKT3,-0.044106043
NT5C,0
GGA2,0
GTF2F2,0
C11orf71,0
KLRB1,-0.005109324
RAD17,0
IFT57,0.01781594
CPPED1,0
AHR,0
ATP11A,0.046889661
SSBP3,0
NFKB2,0
IPO9,-0.062120565
SCCPDH,0
DENND4C,0
ITPR2,0
PEX1,0
PLCB1,0
ZMYM4,0
STX2,0
LDLRAD4,0.016693299
TESPA1,0
MAP3K1,0
